,New_ID,genre_ids,ID_Filme,original_language,popularity,release_date,title,vote_count,ano,imdb_id,revenue,runtime,actors_popularity,directors_popularity,type,contentRating,imDbRating,metacriticRating,awards
0,1,"[12, 28, 878]",1891,en,26.332,1980-05-20,The Empire Strikes Back,14154,1980,tt0080684,538400000.0,124.0,153.0,4.0,Movie,PG,8.7,82,Top rated movie #15 | Won 2 Oscars25 wins & 20 nominations total
74,2,"[878, 28, 12]",8536,en,25.115,1980-12-04,Superman II,1806,1980,tt0081573,190458706.0,127.0,144.0,2.0,Movie,PG,6.8,83,3 wins & 7 nominations
130,3,"[10402, 35, 28, 80]",525,en,16.305,1980-06-16,The Blues Brothers,3374,1980,tt0080455,115229890.0,133.0,125.0,19.0,Movie,R,7.9,60,2 wins & 1 nomination
190,4,[35],19494,en,8.036,1980-12-18,Nine to Five,361,1980,tt0080319,103300000.0,110.0,62.0,1.0,Movie,PG,6.9,58,"Nominated for 1 Oscar, 4 wins & 8 nominations total"
270,5,[35],21629,en,11.063,1980-12-12,Stir Crazy,329,1980,tt0081562,101300000.0,111.0,90.0,,Movie,R,6.7,56,"Awards, 1 nomination"
308,6,[35],813,en,22.739,1980-07-02,Airplane!,3528,1980,tt0080339,83453539.0,88.0,206.0,,Movie,PG,7.7,78,Nominated for 1 BAFTA Film Award3 wins & 7 nominations total
374,7,"[28, 12, 35]",17169,en,12.543,1980-12-17,Any Which Way You Can,249,1980,tt0080377,70687344.0,115.0,115.0,,Movie,PG,6.1,51,"Awards, 2 wins & 2 nominations"
412,8,[35],10765,en,8.787,1980-10-06,Private Benjamin,294,1980,tt0081375,69800000.0,109.0,102.0,,Movie,R,6.2,59,Nominated for 3 Oscars1 win & 6 nominations total
433,9,"[10402, 18]",16769,en,10.874,1980-03-07,Coal Miner's Daughter,186,1980,tt0080549,67182787.0,125.0,94.0,,Movie,PG,7.5,87,"Won 1 Oscar, 11 wins & 13 nominations total"
477,10,"[28, 35]",12705,en,12.903,1980-08-15,Smokey and the Bandit II,215,1980,tt0081529,66132626.0,100.0,66.0,,Movie,PG,5.2,41,"Awards, 1 win & 5 nominations"
539,11,"[28, 35]",8393,en,21.373,1980-09-10,The Gods Must Be Crazy,858,1980,tt0080801,60000000.0,109.0,27.0,5.0,Movie,PG,7.3,73,2 wins & 3 nominations
555,12,[27],4488,en,44.557,1980-05-09,Friday the 13th,2191,1980,tt0080761,59754601.0,95.0,39.0,,Movie,R,6.4,22,6 nominations
